,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
9,7029760,22,8,1,multimat-right,8_1,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,5195464,23,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,5242879,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,5252378,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,5273635,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,5269645,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,5261524,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,5229850,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,5243127,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,5273176,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,5267279,29,8,2,multimat-right,8_2,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3906011,28,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3953663,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3937010,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3927827,39,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3959727,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3955523,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3954607,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3925449,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3939616,39,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3986755,38,8,4,multimat-right,8_4,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,3368584,30,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
1,3367025,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
2,3362315,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
3,3353506,44,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
4,3349549,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
5,3368027,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
6,3367731,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
7,3365319,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
8,3349367,45,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
9,3358965,46,8,8,multimat-right,8_8,32_32_1_4000,4097024,32,32,1024,1,4000,1x4000,one_to_many_saturated
0,83410430,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,83391487,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,83340286,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,83621887,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,83602432,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,83740158,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,83727874,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,83597824,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,83726844,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,84067840,2,4,1,multimat-right,4_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,62597462,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,62686548,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,62712829,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,62527826,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,62600875,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,62652074,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,62732289,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,62676310,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,62688598,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,62670166,3,4,2,multimat-right,4_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,46911231,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,46919422,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,46909694,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,46899967,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,46937343,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,46889984,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,46884609,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,47087615,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,46917121,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,46907905,4,4,4,multimat-right,4_4,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,44043777,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,40206336,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,39765247,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,39764480,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,39800064,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,39625728,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,39753471,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,39802112,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,39714817,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,39926528,4,4,8,multimat-right,4_8,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,83203582,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,83234306,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,83227134,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,83231742,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,83232254,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,83233795,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,83240447,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
7,83223548,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
8,83298301,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
9,83249153,2,8,1,multimat-right,8_1,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
0,62100138,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
1,62016169,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
2,62531585,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
3,62014465,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
4,62031870,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
5,62045867,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
6,62476287,3,8,2,multimat-right,8_2,64_64_1_4000,16388096,64,64,4096,1,4000,1x4000,one_to_many_saturated
