,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
1,266986,563,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,266809,565,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,266891,563,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,266126,569,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,266653,562,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,266883,563,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,266771,563,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,267817,564,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,268696,557,4,2,2,2,multimat-right-multirow-both,4_2_2_2,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,255485,590,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,255902,587,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,256050,588,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,254946,587,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,254619,592,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,255135,588,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,255158,588,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,255151,588,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,255583,588,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,255492,587,4,2,2,4,multimat-right-multirow-both,4_2_2_4,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
0,266768,562,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
1,266780,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
2,266792,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
3,266779,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
4,266772,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
5,266780,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
6,266778,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
7,266783,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
8,266777,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
9,266782,563,4,4,2,1,multimat-right-multirow-both,4_2_4_1,16_16_1_4000,1024256,16,16,256,1,4000,1x4000,one_to_many_saturated
