,Kernel,Kernel_iterations,warps_per_thread_block,right_matrices_per_thread,rows_per_thread,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,33427,44615,8,8,8,triangle,multimat-right-work-distribution,8_8_8_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,61016,24472,8,8,16,rectangle,multimat-right-work-distribution,8_8_16_rectangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,61363,24334,8,8,16,triangle,multimat-right-work-distribution,8_8_16_triangle,16_16_1_8,2304,16,16,256,1,8,1x8,one_to_many
0,9686,154019,4,1,1,rectangle,multimat-right-work-distribution,4_1_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9257,161942,4,1,1,triangle,multimat-right-work-distribution,4_1_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9543,157083,4,1,4,rectangle,multimat-right-work-distribution,4_1_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9772,153452,4,1,4,triangle,multimat-right-work-distribution,4_1_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,13238,113289,4,1,8,rectangle,multimat-right-work-distribution,4_1_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,12839,116812,4,1,8,triangle,multimat-right-work-distribution,4_1_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,20736,71664,4,1,16,rectangle,multimat-right-work-distribution,4_1_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,20805,71517,4,1,16,triangle,multimat-right-work-distribution,4_1_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8474,177111,4,2,1,rectangle,multimat-right-work-distribution,4_2_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,7994,187563,4,2,1,triangle,multimat-right-work-distribution,4_2_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10239,146311,4,2,4,rectangle,multimat-right-work-distribution,4_2_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9722,154232,4,2,4,triangle,multimat-right-work-distribution,4_2_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14402,104093,4,2,8,rectangle,multimat-right-work-distribution,4_2_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14050,106646,4,2,8,triangle,multimat-right-work-distribution,4_2_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,23767,62589,4,2,16,rectangle,multimat-right-work-distribution,4_2_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,24093,61841,4,2,16,triangle,multimat-right-work-distribution,4_2_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8549,175198,4,4,1,rectangle,multimat-right-work-distribution,4_4_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8130,184142,4,4,1,triangle,multimat-right-work-distribution,4_4_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10261,146073,4,4,4,rectangle,multimat-right-work-distribution,4_4_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9902,151285,4,4,4,triangle,multimat-right-work-distribution,4_4_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14650,102373,4,4,8,rectangle,multimat-right-work-distribution,4_4_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14365,104385,4,4,8,triangle,multimat-right-work-distribution,4_4_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,24199,61447,4,4,16,rectangle,multimat-right-work-distribution,4_4_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,24625,60403,4,4,16,triangle,multimat-right-work-distribution,4_4_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8589,174563,4,8,1,rectangle,multimat-right-work-distribution,4_8_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8202,182501,4,8,1,triangle,multimat-right-work-distribution,4_8_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10664,140501,4,8,4,rectangle,multimat-right-work-distribution,4_8_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10235,146494,4,8,4,triangle,multimat-right-work-distribution,4_8_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,15440,97135,4,8,8,rectangle,multimat-right-work-distribution,4_8_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,15040,99760,4,8,8,triangle,multimat-right-work-distribution,4_8_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,25681,57976,4,8,16,rectangle,multimat-right-work-distribution,4_8_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,26008,57296,4,8,16,triangle,multimat-right-work-distribution,4_8_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,10034,149484,8,1,1,rectangle,multimat-right-work-distribution,8_1_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9369,160014,8,1,1,triangle,multimat-right-work-distribution,8_1_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11182,134243,8,1,4,rectangle,multimat-right-work-distribution,8_1_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9773,153240,8,1,4,triangle,multimat-right-work-distribution,8_1_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,13395,111918,8,1,8,rectangle,multimat-right-work-distribution,8_1_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,12818,117047,8,1,8,triangle,multimat-right-work-distribution,8_1_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,20982,71017,8,1,16,rectangle,multimat-right-work-distribution,8_1_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,21349,69612,8,1,16,triangle,multimat-right-work-distribution,8_1_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9051,165799,8,2,1,rectangle,multimat-right-work-distribution,8_2_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8500,176373,8,2,1,triangle,multimat-right-work-distribution,8_2_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11620,129018,8,2,4,rectangle,multimat-right-work-distribution,8_2_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9641,155451,8,2,4,triangle,multimat-right-work-distribution,8_2_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14957,100267,8,2,8,rectangle,multimat-right-work-distribution,8_2_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14893,100725,8,2,8,triangle,multimat-right-work-distribution,8_2_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,25459,58457,8,2,16,rectangle,multimat-right-work-distribution,8_2_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,25334,58834,8,2,16,triangle,multimat-right-work-distribution,8_2_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9067,165282,8,4,1,rectangle,multimat-right-work-distribution,8_4_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8596,174518,8,4,1,triangle,multimat-right-work-distribution,8_4_1_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,11663,128552,8,4,4,rectangle,multimat-right-work-distribution,8_4_4_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,9868,152118,8,4,4,triangle,multimat-right-work-distribution,8_4_4_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,14925,100517,8,4,8,rectangle,multimat-right-work-distribution,8_4_8_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,15224,98544,8,4,8,triangle,multimat-right-work-distribution,8_4_8_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,25488,58435,8,4,16,rectangle,multimat-right-work-distribution,8_4_16_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,25916,57437,8,4,16,triangle,multimat-right-work-distribution,8_4_16_triangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
0,8589,174345,8,8,1,rectangle,multimat-right-work-distribution,8_8_1_rectangle,32_32_1_2,3072,32,32,1024,1,2,1x2,one_to_many
