,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,right_matrices_per_thread,left_rows_per_iteration,num_cuda_streams,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
2,32087,4655,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,32129,4665,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,32091,4676,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,32092,4646,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,32060,4665,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,32092,4650,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,32088,4668,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,32094,4670,4,2,2,4,20,multimat-right-multirow-both,4_2_2_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,38934,3849,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,39019,3829,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,39044,3826,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,39038,3823,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,38991,3844,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,39063,3848,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,39007,3838,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,39018,3842,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,38975,3845,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,39020,3831,4,4,2,1,20,multimat-right-multirow-both,4_2_4_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,46563,3213,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,46546,3209,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,46605,3214,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,46593,3211,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,46559,3219,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,46494,3222,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,46541,3224,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,46493,3231,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,46576,3218,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,46512,3219,4,4,2,2,20,multimat-right-multirow-both,4_2_4_2,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,42773,3504,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,42810,3496,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,42847,3492,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,42828,3485,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,42848,3504,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,42762,3508,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,42789,3486,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,42745,3502,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
8,42864,3497,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
9,42788,3502,4,4,2,4,20,multimat-right-multirow-both,4_2_4_4,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
0,28900,5170,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
1,29045,5137,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
2,28999,5151,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
3,29042,5144,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
4,28967,5177,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
5,29026,5161,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
6,28994,5169,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
7,29064,5169,4,1,4,1,20,multimat-right-multirow-both,4_4_1_1,16_16_2_8,2560,16,16,256,2,8,2x8,n_to_mn
