,Kernel,Kernel_iterations,warps_per_thread_block,shifts_per_thread_right_matrix,left_matrices_per_thread,right_matrices_per_thread,left_rows_per_iteration,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,23214,64613,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,23215,64618,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,23214,64619,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,23214,64620,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,23214,64617,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,23213,64622,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
6,23221,64589,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
7,23220,64602,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
8,23220,64597,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
9,23217,64600,4,4,1,2,4,multimat-both-multirow-both,4_1_2_4_4,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
0,22011,68143,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
1,22012,68151,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
2,22013,68150,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
3,22010,68145,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
4,22010,68142,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
5,22013,68146,4,1,1,4,1,multimat-both-multirow-both,4_1_4_1_1,16_16_2_2,1024,16,16,256,2,2,2x2,n_to_m
