,Kernel,Kernel_iterations,shifts_per_thread_block,rows_per_warp,distribution_type,Name,Args,Input size,Input total items,Input matrix rows,Input matrix cols,Input matrix area,Input left matrices,Input right matrices,Input type,Group
0,12276448,100,4,8,triangle,warp-per-shift-work-distribution,4_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11075256,100,4,16,rectangle,warp-per-shift-work-distribution,4_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11022469,100,4,16,triangle,warp-per-shift-work-distribution,4_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,12083681,100,16,8,rectangle,warp-per-shift-work-distribution,16_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,12423013,100,16,8,triangle,warp-per-shift-work-distribution,16_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,10807746,100,16,16,rectangle,warp-per-shift-work-distribution,16_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11098645,100,16,16,triangle,warp-per-shift-work-distribution,16_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,12321197,100,32,8,rectangle,warp-per-shift-work-distribution,32_8_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,12656589,100,32,8,triangle,warp-per-shift-work-distribution,32_8_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,10847989,100,32,16,rectangle,warp-per-shift-work-distribution,32_16_rectangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
0,11206922,100,32,16,triangle,warp-per-shift-work-distribution,32_16_triangle,256_256_1_1,131072,256,256,65536,1,1,1x1,one_to_one
